Word,Frequency
the,4318
project,3
gutenberg,2
ebook,2
of,3606
pride,49
and,3490
prejudice,8
by,629
jane,265
austen,3
chapter,61
1,1
it,1472
is,835
a,1941
truth,27
universally,3
acknowledged,20
that,1482
single,12
man,146
in,1869
possession,9
good,191
fortune,39
must,304
be,1239
want,44
wife,44
however,134
little,188
known,58
feelings,86
or,298
views,11
such,385
may,187
on,711
his,1251
first,145
entering,9
neighbourhood,29
this,417
so,585
well,206
fixed,22
minds,4
surrounding,2
families,7
he,1298
considered,23
rightful,1
property,8
some,205
one,262
other,210
their,441
daughters,49
"my,50
dear,153
mr,769
bennet,294
",1734
said,401
lady,176
to,4146
him,753
day,140
"have,6
you,1232
heard,84
netherfield,73
park,22
let,65
at,784
last,120
replied,103
had,1171
not,1409
"but,83
returned,45
she,1675
"for,17
mrs,338
long,115
has,216
just,72
been,514
here,66
told,69
me,431
all,618
about,120
made,126
no,460
answer,65
"do,16
know,236
who,279
taken,31
cried,91
impatiently,5
"_you_,7
tell,69
i,1767
have,834
objection,15
hearing,24
was,1839
invitation,34
enough,106
"why,10
my,652
says,15
young,130
large,23
from,487
north,6
england,5
came,90
down,73
monday,9
chaise,11
four,35
see,149
place,75
much,325
delighted,23
with,1046
agreed,12
morris,1
immediately,60
take,78
before,226
michaelmas,2
servants,13
are,330
house,107
end,30
next,70
week,29
"what,39
name,33
"bingley,1
"is,22
married,61
"oh,66
sure,101
five,32
thousand,34
year,29
what,437
fine,31
thing,42
for,1039
our,72
girls,45
"how,28
how,203
can,201
affect,3
them,429
tiresome,2
am,316
thinking,21
marrying,23
design,21
settling,3
"design,1
nonsense,7
talk,32
but,919
very,474
likely,38
_may_,2
fall,9
love,91
therefore,75
visit,51
as,1165
soon,216
comes,16
"i,297
occasion,37
go,102
send,24
themselves,34
which,534
perhaps,65
will,404
still,72
better,92
handsome,37
any,268
bingley,253
like,76
best,41
party,56
flatter,10
certainly,65
_have_,2
share,14
beauty,27
do,325
pretend,7
anything,80
extraordinary,16
now,199
when,357
woman,56
grown,5
up,123
ought,44
give,123
over,91
her,2201
own,182
"in,11
cases,6
often,89
think,211
indeed,79
into,142
"it,61
more,323
than,280
engage,5
assure,39
consider,33
your,418
only,213
an,357
establishment,6
would,466
sir,76
william,39
lucas,64
determined,32
merely,32
account,38
general,51
they,584
newcomers,1
impossible,43
_us_,2
if,308
"you,93
scrupulous,1
surely,3
dare,40
say,158
glad,37
few,71
lines,9
hearty,2
consent,13
whichever,2
chooses,8
though,222
throw,8
word,48
lizzy,84
desire,23
bit,3
others,53
half,69
nor,72
humoured,7
lydia,130
always,119
giving,25
_her_,21
preference,10
"they,13
none,18
recommend,12
silly,12
ignorant,16
something,70
quickness,3
sisters,73
"mr,15
_can_,1
abuse,2
children,25
way,108
delight,25
vexing,1
compassion,14
poor,37
nerves,4
mistake,8
high,17
respect,30
old,13
friends,54
mention,30
consideration,14
these,66
twenty,17
years,33
least,65
"ah,4
suffer,13
hope,121
get,52
live,21
many,119
men,34
come,88
use,15
us,121
should,245
since,56
"depend,1
upon,69
there,329
odd,5
mixture,5
quick,10
parts,5
sarcastic,1
humour,25
reserve,7
caprice,4
experience,2
three,60
insufficient,10
make,165
understand,30
character,64
mind,57
less,77
difficult,11
develop,1
mean,34
understanding,21
information,27
uncertain,2
temper,24
discontented,2
fancied,7
herself,227
nervous,4
business,45
life,56
its,105
solace,1
visiting,5
news,31
2,2
among,25
earliest,6
those,59
waited,7
intended,21
assuring,4
till,93
evening,72
after,199
paid,19
knowledge,20
then,168
disclosed,1
following,23
manner,97
observing,12
second,25
daughter,77
employed,8
trimming,1
hat,2
suddenly,16
addressed,17
"we,16
_what_,1
likes,9
mother,112
resentfully,2
"since,3
we,231
forget,17
mamma,10
elizabeth,595
"that,59
shall,158
meet,31
assemblies,2
promised,21
introduce,11
believe,85
two,131
nieces,9
selfish,7
hypocritical,2
opinion,68
"no,30
"and,95
find,58
depend,22
serving,1
deigned,3
reply,26
unable,14
contain,6
began,59
scolding,2
"don't,2
keep,25
coughing,1
kitty,67
heaven's,2
sake,23
tear,2
pieces,2
"kitty,2
discretion,5
coughs,1
father,116
"she,20
times,20
ill,75
cough,2
amusement,12
fretfully,2
"when,16
ball,36
"to,16
morrow,20
fortnight,21
"aye,6
does,80
back,41
"then,6
advantage,34
friend,104
"impossible,1
acquainted,24
myself,92
teasing,7
honour,42
circumspection,2
fortnight's,2
acquaintance,52
cannot,112
really,87
_we_,6
venture,5
somebody,7
else,43
neices,1
stand,10
chance,18
act,9
kindness,29
decline,2
office,6
stared,5
"nonsense,1
meaning,14
emphatic,1
exclamation,2
forms,2
introduction,11
stress,1
laid,8
quite,96
agree,6
_there_,5
mary,37
deep,7
reflection,10
read,40
great,142
books,13
extracts,2
wished,39
sensible,31
knew,57
"while,2
adjusting,1
ideas,13
continued,51
"let,10
return,49
sick,6
sorry,34
hear,71
_that_,33
why,43
did,257
morning,77
called,41
unlucky,10
actually,12
escape,10
astonishment,30
ladies,74
surpassing,1
rest,40
tumult,3
joy,12
declare,8
expected,43
while,73
persuade,18
loved,10
too,141
neglect,10
pleased,39
joke,3
gone,62
never,217
